Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,MovingAverageSimple,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
64,CAD=X,64,2007-10-19 23:59:59.999989,0.97,0.98,0.96,0.96,0.0,0.0,0.9632,TestStrategy,64,732968.9999999999,MovingAverageSimple,64,0.982,Broker,64,999.6999999999999,999.6999999999999,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,CAD=X,65,2007-10-22 23:59:59.999989,0.97,0.98,0.97,0.98,0.0,0.0,0.978,TestStrategy,65,732971.9999999999,MovingAverageSimple,65,0.9813333333333333,Broker,65,999.6999999999999,999.6999999999999,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,CAD=X,66,2007-10-23 23:59:59.999989,0.98,0.98,0.96,0.97,0.0,0.0,0.9668,TestStrategy,66,732972.9999999999,MovingAverageSimple,66,0.9793333333333333,Broker,66,999.6999999999999,999.6999999999999,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,CAD=X,67,2007-10-24 23:59:59.999989,0.97,0.97,0.96,0.97,0.0,0.0,0.9691,TestStrategy,67,732973.9999999999,MovingAverageSimple,67,0.9773333333333334,Broker,67,999.6999999999999,999.6999999999999,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,CAD=X,68,2007-10-25 23:59:59.999989,0.97,0.97,0.96,0.97,0.0,0.0,0.9661,TestStrategy,68,732974.9999999999,MovingAverageSimple,68,0.9753333333333333,Broker,68,999.6999999999999,999.6999999999999,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,CAD=X,69,2007-10-26 23:59:59.999989,0.97,0.97,0.96,0.96,0.0,0.0,0.962,TestStrategy,69,732975.9999999999,MovingAverageSimple,69,0.974,Broker,69,999.6999999999999,999.6999999999999,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,CAD=X,70,2007-10-29 23:59:59.999989,0.96,0.96,0.95,0.95,0.0,0.0,0.9533,TestStrategy,70,732978.9999999999,MovingAverageSimple,70,0.9713333333333334,Broker,70,999.6999999999999,999.6999999999999,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,CAD=X,71,2007-10-30 23:59:59.999989,0.95,0.96,0.95,0.95,0.0,0.0,0.9534,TestStrategy,71,732979.9999999999,MovingAverageSimple,71,0.9693333333333333,Broker,71,999.6999999999999,999.6999999999999,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,CAD=X,72,2007-10-31 23:59:59.999989,0.95,0.96,0.94,0.95,0.0,0.0,0.9467,TestStrategy,72,732980.9999999999,MovingAverageSimple,72,0.9673333333333333,Broker,72,999.6999999999999,999.6999999999999,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,CAD=X,73,2007-11-01 23:59:59.999989,0.95,0.95,0.94,0.95,0.0,0.0,0.9505,TestStrategy,73,732981.9999999999,MovingAverageSimple,73,0.9653333333333334,Broker,73,999.6999999999999,999.6999999999999,BuySell,73,,,Trades - Net Profit/Loss,73,,
